m,DATE ADDED,"AGE, SEX, PEDIGREE",TRAINER,INJURY,MOST RECENT RACE,NEXT RACE OR MAJOR GOAL,LAST ACTIVITY,,,,,,,,,,,,,,,
Royale Michele,2/17/2010,"5, m, Elusive Quality - Michele Royale, by Groovy",S. Kintz,Bred to Unbridled's Song in 2010,,,,,,,,,,,,,,,,,,
R Quiet Riot,,"7, g, Real Quiet - Minigroom, by Mt. Livermore",R. Bugge,Retired,,,,,,,,,,,,,,,,,,
Ruby's Realm,11/18/2009,"3, f, Empire Maker - Ruby Ransom, by Red Ransom",,Broodmare,,,,,,,,,,,,,,,,,,
Ruff Slew,2012,"2, g, Conroe - Ruffinada, by Explodent",M. Willis,LOPE Texas Racehorse Adoption Program,,,,,,,,,,,,,,,,,,
Rumor,1/9/2014,"6, m, Indian Charlie - Mini Chat, by Deputy Minister",R. Mandella,Bred to War Front in 2014,,,,,,,,,,,,,,,,,,
Run Away and Hide,9/23/2008,"2, c, City Zip - Jilted, by Runaway Groom",R. Werner,"Knee (surgery), stands stud at Darby Dan Farm, Kentucky for $7,500
",,,,,,,,,,,,,,,,,,
Runaway Dancer,2/13/2009,"10, g, Runaway Groom - Salsa Dancer, by Dahar",D. Hendricks,"Retired to the Portola Valley, California",,,,,,,,,,,,,,,,,,
Run Brother Ron,12/18/2011,"6, h, Perfect Mandate - Aloha Mangos, by Bold Badgett",W. McDonnell,"Will stand stud in 2012 at Paradise Road Ranch, California for $500",,,,,,,,,,,,,,,,,,
Run N Coke,,"7, g, Line In The Sand - Run Cola Run, by Run the Gantlet",T. Smylie,"Retired to Turning for Home Retirement Program, Pennsylvania + Show horse in Switzerland",,,,,,,,,,,,,,,,,,
Runnin Da Fences,2012,"7, g, Deputy Commander - You Just Watch Me, by Spectacular Bid",J. Ness,Retired to New Vocations,,,,,,,,,,,,,,,,,,
Run With Sue,2012,"4, f, Sarava - Wabash Sue, by Jungle Express",G. Rivera,Retired to New Vocations,,,,,,,,,,,,,,,,,,
Rushing Force,,"8, m, Regal Classic - My Maru, by Distinctive Pro",Q. Plunkett,Bred to Imperialism,,,,,,,,,,,,,,,,,,
Rusty's Girl Appeal,,"3, f, B L's Appeal - Rusty's Best Girl, by Avatar",S. DiMauro,"Resides at Pure Thoughts Off Track Thoroughbred Rehab and Placement Division
",,,,,,,,,,,,,,,,,,
Rutherienne,,"5, m, Pulpit - Ruthian, by Rahy",C. Clement,Bred to Empire Maker in 2010,,,,,,,,,,,,,,,,,,
Ruth Wonders,2012,"5, m, Three Wonders - Obed Summit, by Vilzak",B. Kravets,Retired to New Vocations. ,,,,,,,,,,,,,,,,,,
Rydell,,"9, g, Rahy - Felidia, by Golden Fleece",S. Sherman,Retired to CANTER adoption facility,,,,,,,,,,,,,,,,,,
Sabirli,1/1/2010,"9, h, Strike the Gold - Free Trade, by Shareef Dancer",C. Kurt,"Will stand stud in 2010 at Karacabey Farm, Turkey",,,,,,,,,,,,,,,,,,
Sabina Park,2008,"2, g, Gimmeawink - Sayabec, by Foxhound",S. Attard,Retired,,,,,,,,,,,,,,,,,,
Sacred Realm,,"4, f, Mutakddim - Boston Girl, by Boston Harbor",P. Gleaves,Bred to Silver Tree,,,,,,,,,,,,,,,,,,
Sageburg,1/1/2010,"5, h, Johannesburg - Sage et Jolie, by Linamix",A. de Royer-Dupre,Stood first season at stud in 2009,,,,,,,,,,,,,,,,,,
Sahara Heat,2/13/2009,"5, h, A.P. Indy - Sahara Gold, by Seeking the Gold",M. Casse,"Foot injury, stands stud at Sterling Chase Farm in New Jersey for $5,000",,,,,,,,,,,,,,,,,,
Sahpresa,2011,"6, m, Sahm - Sorpresa, by Pleasant Tap",R. Collet,Bred to Victoire Pisa in 2012,,,,,,,,,,,,,,,,,,
Sail From Seattle,1/1/2010,"7, h, Gone West - Seattle Classic, by Seattle Slew",M. Frostad,"Will stand stud in 2010 at Ascot Stud, South Africa for 15,000 rands",,,,,,,,,,,,,,,,,,
Saint Paul,2011,"7, g, Sweetsouthernsaint - Tallulah, by Twining",M. Puype,Adopted,,,,,,,,,,,,,,,,,,
Salah's Jewels,,"3, f, Bertrando - Morell's Love, by Cutlass Reality",M. Jones,Bred to Benchmark,,,,,,,,,,,,,,,,,,
Salden Licht,1/28/2013,"9, g, Fantastic Light - Salde, by Alkalde",A. King,Suspensory,,,,,,,,,,,,,,,,,,
Saltnlime,,"3, f, Limehouse - Saltwater Silence, by No Louder",C. Somers,,,,,,,,,,,,,,,,,,,
Salty Strike,2012,"4, f, Smart Strike - Lake Huron, by Salt Lake",K. McPeek,Bred to Medaglia d'Oro in 2013,,,,,,,,,,,,,,,,,,
Salute the Sarge,11/7/2008,"3, c, Forest Wildcat - Dixie Ghost, by Silver Ghost",E. Guillot,"Stands stud at Walmac Farm, Kentucky for $7,500",,,,,,,,,,,,,,,,,,
Salvadoria,,"4, f, Macho Uno - Skipping Around, by Skip Trial",B. Lynch,Bred to Touch Gold,,,,,,,,,,,,,,,,,,
Salzburg,2009,"5, g, Our Emblem - In the Future, by Storm Bird",F. Randazzo Jr.,Retired to Old Friends      ,,,,,,,,,,,,,,,,,,
Samba Brazil,10/28/2013,"4, f, Teofilo - Sasuela, by Dashing Blade",J. Hirschberger,Broodmare in Germany,,,,,,,,,,,,,,,,,,
Samba Rooster,7/3/2008,"7, h, Songandaprayer - Illumination, by Devil's Bag",B. Baffert,"Re-aggravated Old Injury + Will stand stud in 2013 at Blue Rose Farm, Pennsylvania for $1,500 ",,,,,,,,,,,,,,,,,,
Sammy's Don,,"2, c, Don Six - Terri's Toy, by Sky Classic",,"Resides at Pure Thoughts Off Track Thoroughbred Rehab and Placement Division
",,,,,,,,,,,,,,,,,,
Sam P.,2010,"6, h, Cat Thief - Affirmed Legacy, by Affirmed",W. Bradley,,,,,,,,,,,,,,,,,,,
Sandburr,1/6/2009,"10, g, Sandpit - Lone Star Stella, by Silent Screen",M. Stidham,Retired to farm in Texas,,,,,,,,,,,,,,,,,,
Sand Cove,2011,"6, h, Bold Executive - Mythical Status, by Mythical Ruler",R. Attfield,"Stood stud at Shannondoe Farm, Canada in 2012 + Died of laminitis in 2012",,,,,,,,,,,,,,,,,,
Sandspit,2011,"12, g, Sandpit - Smart Vices, by Vice Regent",A. Alderson,"Retired to Alderson Farm, Canada",,,,,,,,,,,,,,,,,,
Sandy Cheeks,2010,"3, f, Souvenir Copy - Crystal Marina, by Charismatic",B. Abrams,Broodmare,,,,,,,,,,,,,,,,,,
Sans Frontieres,10/12/2010,"7, h, Galileo - Llia, by Shirley Heights",J. Noseda,"Cramps + Coughing + Tendon, Stud?",,,,,,,,,,,,,,,,,,
Santa Catalina (Chi),,"7, m, Resting Place - Simply, by Winning",P. Fout,Bred to Rock Slide,,,,,,,,,,,,,,,,,,
Santana Strings,11/8/2008,"6, h, Wheaton - Smiling Santanna, by Prospectors Gamble",S. Asmussen,"Stands stud at Pin Oak Lane Farm, Pennsylvania for $2,500",,,,,,,,,,,,,,,,,,
Santina d'Or,11/17/2009,"7, m, Cat's At Home - Ruth Ann d'Or, by Tour d'Or",P. Attard,Undisclosed + Bred to Niigon,,,,,,,,,,,,,,,,,,
Sarafina,1/13/2012,"5, m Refuse to Bend - Sanariya, by Darshaan",A de Royer-Dupre,Will be bred to Deep Impact in 2012,,,,,,,,,,,,,,,,,,
Sara Louise,12/2/2010,"4, f, Malibu Moon - Kings Lynn, by Mt. Livermore",S. bin Suroor,Broodmare,,,,,,,,,,,,,,,,,,
Saratoga Russell,2/4/2010,"5, h, Trippi - Prologue, by Theatrical",M. Hushion,"Career-ending injury, Stud?",,,,,,,,,,,,,,,,,,
Saskawea,10/27/2009,"5, m, Stormy Atlantic - Saintly Angel, by St. Jovite",S. Attard,"Filling tendon, Broodmare",,,,,,,,,,,,,,,,,,
Sassy City,2012,"6, m, Macho Uno - On Top of That, by Gate Dancer",J. Botty,Bred to Mineshaft in 2012,,,,,,,,,,,,,,,,,,
Sassy Image,2012,"5, m, Broken Vow - Ideal Image, by Hennessy",D. Romans,Bred to Distorted Humor in 2013,,,,,,,,,,,,,,,,,,
Save Big Money,1/5/2010,"7, h, Storm Cat - Tomisue's Delight, by A.P. Indy",N. Howard,"Will stand stud in 2010 at Mighty Acres, Oklahoma for $2,000",,,,,,,,,,,,,,,,,,
Scarlet Love,2009,"5, m, Not For Love - Scarlet Tango, by French Deputy",W. Dollase,Broodmare,,,,,,,,,,,,,,,,,,
Schiaparelli,7/12/2013,"5, m, Ghostzapper - Cambiacorsa, by Avenue of Flags",M. Puype,Poor bone scan + Broodmare,,,,,,,,,,,,,,,,,,
Scorewithcater,12/18/2011,"5, h, Even the Score - Runaway Cater, by Runaway Groom",H. Dominguez,"Will stand stud in 2012 at R. M. Master Racing Stables, California for $2,000",,,,,,,,,,,,,,,,,,
Scrubs,1/5/2010,"10, h, Dr. Caton - Record Stands, by American Standard",K. Decker,"Will stand stud in 2010 at Legend Farm, Oklahoma for $1,250",,,,,,,,,,,,,,,,,,
Sea Court,,"3, f, Mr. Greeley - Minister's Flag, by Deputy Minister",,Bred to Flashy Bull,,,,,,,,,,,,,,,,,,
Sea Empress,,"3, f, Benchmark - Brisa de Mar, by Pirate's Bounty",C. Sise Jr.,Bred to Bertrando in 2010,,,,,,,,,,,,,,,,,,
Sealy Hill,10/24/2008,"4, f, Point Given - Boston Twist, by Boston Harbor",M. Casse,"Broodmare, booked to Distorted Humor",,,,,,,,,,,,,,,,,,
Sean Avery,2/14/2013,"7, g, Cherokee Run - Latin Lynx, by Forest Wildcat",A. Iwinski,"Bled, Heat in tendon, Retired to Old Friends, Kentucky",,,,,,,,,,,,,,,,,,
Sea the Stars,10/13/2009,"3, c, Cape Cross - Urban Sea, by Miswaki",J. Oxx,"Will stand stud at Gilltown Stud in Ireland in 2010 for $127,000",,,,,,,,,,,,,,,,,,
Seattle Smooth,5/27/2010,"5, m, Quiet American - Our Seattle Star, by Seattle Song",A. Dutrow,"Ankle, Broodmare",,,,,,,,,,,,,,,,,,
Sebcoe West,2010,"4, g, Milwaukee Brew - Awesome Touch, by Awesome Again",S. Attard,"Retired to LongRun Thoroughbred Retirement Society, Canada",,,,,,,,,,,,,,,,,,
Secret Gypsy,1/11/2011,"6, m, Sea of Secrets - Miss Utada, by Rahy",R. Werner,"Sold for $540,000 as broodmare prospect January 2011, Sent to Japan",,,,,,,,,,,,,,,,,,
Sedgefield,1/1/2010,"5, h, Smart Strike - Belva, by Theatrical",D. Miller,Stood first season at stud in 2009,,,,,,,,,,,,,,,,,,
See and Be Seen,,"3, f, Forest Wildcat - Polish Silk, by Polish Pro",M. Casse,Consigned as broodmare prospect OBS Fall 2010,,,,,,,,,,,,,,,,,,
Seeking Ms Shelley,2/17/2013,"7, m, Cactus Ridge - Seeking Miss Slew, by Slew o' Gold",J. Duhon,Broodmare,,,,,,,,,,,,,,,,,,
Seeking the Dia,8/8/2008,"7, h, Storm Cat - Seeking the Pearl, by Seeking the Gold",H. Mori,Stud - Hill 'n' Dale Farms in Kentucky,,,,,,,,,,,,,,,,,,
Seenemonna T. V. ,,"6, m, Belong to Me - Broad Path, by Broad Brush",H. Garcia,Bred to Zavata,,,,,,,,,,,,,,,,,,
Self Defense,2008,"11, g, Warning - Dansara, by Dancing Brave",E. Lavelle,Retired,,,,,,,,,,,,,,,,,,
Serenading,1/30/2010,"6, m, A.P. Indy - Daijin, by Deputy Minister",J. Carroll,Broodmare,,,,,,,,,,,,,,,,,,
Serena's Echo,,"3, f, Swiss Yodeler - Helen of Troy, by Mr. Intergrity",P. Harrington,Bred to Redattore,,,,,,,,,,,,,,,,,,
Serious Attitude,10/18/2010,"4, f, Mtoto - Zameyla, by Cape Cross",R. Guest,"Sold for $1,850,000 Fasig-Tipton November 2010 + Broodmare in Japan",,,,,,,,,,,,,,,,,,
Seventh Street,11/20/2009,"4, f, Street Cry - Holiday Runner, by Meadowlake",S. bin Suroor,Broodmare,,,,,,,,,,,,,,,,,,
Sever,2012,"4, g, Horse Chestnut - Detach, by Unbridled",D. Habeeb,"Sesamoid and tendon injury, Retired to Second Stride, Kentucky",,,,,,,,,,,,,,,,,,
Sevruga,,"3, f, Jade Hunter - Duda, by Theatrical",,Bred to Real Quiet,,,,,,,,,,,,,,,,,,
Sgt Reckless,2012,"3, f, Latent Heat - One Kick and Gone, by Meadowlake",,"Retired to New Vocations, Ohio",,,,,,,,,,,,,,,,,,
Shades of a Lady,11/20/2009,"3, f, Giant's Causeway - Shades of Grace, by Seeking the Gold",,Bred to Harlington,,,,,,,,,,,,,,,,,,
Shadow Gate,2012,"10, h, White Muzzle - Fabulous Turn, by Sunday Silence",T. Kodama,"Will stand stud in 2013 at Longford House Stud, Ireland",,,,,,,,,,,,,,,,,,
Shadow of Illinois,9/30/2011,"11, g, Illinois Storm - My Annie T, by Trempolino",A. Saavedra,"Foot abscesses, Hunter-Jumper or Farm life",,,,,,,,,,,,,,,,,,
Shake the Bank,6/15/2009,"9, g, Sandpit - Silver Spool, by Strike Gold",H. Motion,Retired + now a jumper in Maryland,,,,,,,,,,,,,,,,,,
Shaky Canyon,,"4, f, Gulch - Carr Shaker, by Carr de Naskra",M. Pearson,Bred to Forest Wildcat,,,,,,,,,,,,,,,,,,
Shamdinan,6/13/2008,"6, h, Dr. Fong - Shamdara, by Dr. Devious",D. McFarlane,"Undisclosed Injury, Will stand stud at Tenuta della Calandrina, Italy",,,,,,,,,,,,,,,,,,
Shamwari Lodge,12/1/2010,"4, f, Hawk Wing - Ripalong, by Revoque",R. Hannon,"Sold for 300,000 guineas Tattersalls December 2010 + Broodmare",,,,,,,,,,,,,,,,,,
Shanghai Bobby,9/29/2013,"3, c, Harlan's Holiday - Steelin', by Orientate",T. Pletcher,"Suspensory ligament + Will stand stud in 2014 at Ashford Stud, Kentucky",,,,,,,,,,,,,,,,,,
Shared Account,11/16/2011,"5, m, Pleasantly Perfect - Silk n' Sapphire, by Smart Strike",H. Motion,Bred to Bernardini,,,,,,,,,,,,,,,,,,
Shark,11/26/2008,"6, h, Danzig - Surfside, by Seattle Slew",J. Thornbury,"Stands stud at Pin Oak Lane Farm, Pennsylvania for $3,500",,,,,,,,,,,,,,,,,,"
"
Sharp Shooter ,1/1/2010,"5, h, Unbridled's Song - Apollo Cat, by Storm Cat",L. Cox,Stood first season at stud in 2009,,,,,,,,,,,,,,,,,,
She Be Wild,4/19/2010,"5, m Offlee Wild - Trappings, by Seeking the Gold",W. Catalano,Fractured left front pastern (surgery) + Bred to Tapit in 2011,,,,,,,,,,,,,,,,,,
She'll Be Doggone,4/21/2010,"3, f, Gone West - Pate Maison, by Polish Numbers",A. Dutrow,"Broken foot, Broodmare",,,,,,,,,,,,,,,,,,
Shem Tov,11/5/2008,"5, g, Unusual Heat - Chemolo, by Be a Native",B. Abrams,Bleeding lungs + Retired,,,,,,,,,,,,,,,,,,
She'sagreenmachine,,"3, f, Luhuk - Green Noble, by Green Dancer",,Bred to Yes It's True,,,,,,,,,,,,,,,,,,
She's All In,11/8/2013,"6, m, Include - Georgia Ok, by Hickory Ridge",D. Von Hemel,Broodmare,,,,,,,,,,,,,,,,,,
She's an Eleven,,,J. Sadler,Broodmare - will be bred to Our New Recruit,,,,,,,,,,,,,,,,,,
She's Cheeky,2012,"7, m, Black Minnaloushe - Zadkiel, by Saint Ballado",P. Eurton,Bred to Bernardini in 2013,,,,,,,,,,,,,,,,,,
She's Funomenal,4/15/2010,"3, f, Fusaichi Pegasus - Elderberry Drive, by Strawberry Road",J. Hollendorfer,Cracked sesamoid + Bred to Awesome Again in 2010,,,,,,,,,,,,,,,,,,
She's No Devil,,"3, f, Bertrando - Devil's Glow, by Devil's Bag",R. Mandella,Bred to Benchmark in 2008,,,,,,,,,,,,,,,,,,
She's Our Annie,1/12/2010,"7, m, Medaglia d'Oro - Girl Gone Crazy, by Roar",W. Fires,"Slab fracture right knee (surgery), Bred to Curlin in 2011",,,,,,,,,,,,,,,,,,
She's Our Hero,,"5, m, Partner's Hero - Delta Danielle, by Lord Avie",A. Allen III,Bred to Afleet Alex,,,,,,,,,,,,,,,,,,
She's Sensational,4/2/2009,"6, m, Point Given - Blushing Issue, by Blushing John",J. Martin,Throat inflammation + Bred to Sky Mesa,,,,,,,,,,,,,,,,,,
Shillelagh Slew,9/23/2008,"5, h, Chief Seattle - Frippalina, by Theatrical",M. De Paulo,Stud,,,,,,,,,,,,,,,,,,
Shine Ola,2012,"5, m, Doneraile Court - Bright and Shiny, by El Prado",N. Reagan,Retired to New Vocations,,,,,,,,,,,,,,,,,,
Shiny Pemmy,2009,"6, m, Pembroke - Shining, by Fluorescent Light",M. Johnson,Retired to New Vocations  ,,,,,,,,,,,,,,,,,,
Ship's Cat,2007,"3, f, Forest Wildcat - Racey Player, by A.P. Indy",S. Fratini,Broodmare,,,,,,,,,,,,,,,,,,
Shout,,"5, m, Halling - Spout, by Salse",T. Yakteen,Bred to El Corredor,,,,,,,,,,,,,,,,,,
Shoteka,2011,"7, g, Rahy - Prospectors Band, by Dixieland Band",J. Nixon,"Retired to LongRun Thoroughbred Retirement Society, Canada",,,,,,,,,,,,,,,,,,
Shotgun Gulch,11/5/2011,"5, f, Thunder Gulch - Rosieville, by Boston Harbor",C. Trout,Tied up + Gashed left front hock (eight stitches) + Cracked sesamoid left foreleg (no surgery) + Bred to Bernardini in 2012,,,,,,,,,,,,,,,,,,
Showing Up,10/2/2007,"5, h, Strategic Mission - Miss Alethia, by T. V. Commerical",B. Tagg,"Strained suspensory ligament left foreleg + strained muscle, stand stud at Adena Springs, Fla. for $7,500
",,,,,,,,,,,,,,,,,,
Show the Light,,"3, f, Sky Mesa - Mercedes Too, by Mercedes Won",M. Chambers,Bred to Henny Hughes,,,,,,,,,,,,,,,,,,
Shudabenacowgirl,,"5, m, Bold Anthony - Magical Miss, by Perfect",E. Watkins,Retired,,,,,,,,,,,,,,,,,,
Siamese Cat,,"4, f, Rock of Gibraltar - Real Cat, by Storm Cat",G. Mandella,Bred to Officer,,,,,,,,,,,,,,,,,,
Siberian Rose,,"5, m, Red Bullet - Selena Rose, by Honour and Glory",J. Nixon,Bred to Wilko,,,,,,,,,,,,,,,,,,
Sicotico,1/1/2010,"5, h, Blueformer - Lump of Joy, by Lombardi",E. Deschamps,"Will stand stud in 2010 at Rancho San Antonio, Dominican Republic for $5,000",,,,,,,,,,,,,,,,,,
Sidney's Candy,11/11/2011,"4, c, Candy Ride - Fair Exchange, by Storm Cat",T. Pletcher,"Will stand stud in 2012 at WinStar Farm, Kentucky for $15,000",,,,,,,,,,,,,,,,,,
Sierra Sunset,9/30/2011,"6, h, Bertrando - Toot Sweet, by Pirate's Bounty",J. Bonde,"Will stand stud in 2012 at Rancho San Miguel. California for $2,500",,,,,,,,,,,,,,,,,,
Sightseeing,8/21/2008,"4, c, Pulpit - Resort, by Pleasant Colony",C. McGaughey III,"Stud - Richland Hills in Kentucky for $7,500",,,,,,,,,,,,,,,,,,
Silent Deal,1/1/2010,"10, h, Sunday Silence - Fairy Doll, by Nureyev",Y. Ikee,"Will stand stud in 2010 at Breeders Stallion Station, Japan",,,,,,,,,,,,,,,,,,
Silent Name,1/1/2008,"6, h, Sunday Silence - Danzigaway, by Danehill",R. Frankel,Entered stud in 2008,,,,,,,,,,,,,,,,,,
Silent Pleasure,1/3/2008,"5, h, Real Quiet - Wholelotapleasure, by Vice Regent",H. Scarberry,"Fractured Seasmoid Right Foreleg + Stands stud in 2008 at Scarberry Farm, Louisiana",,,,,,,,,,,,,,,,,,
Silknick,,"4, f, Silky Sweep - Nicks Moment, by Nicholas",G. Duhon,Bred to Mister Dance in 2010,,,,,,,,,,,,,,,,,,
Silmaril,,,C. Grove,Broodmare,,,,,,,,,,,,,,,,,,
Silver City,4/6/2010,"4, c, Unbridled's Song - Proposal, by Mt. Livermore",W. Calhoun,"Sore suspensory + Will stand stud in 2011 at Valor Farm, Texas for $2,000",,,,,,,,,,,,,,,,,,
Silverfoot,5/28/2010,"10, g, With Approval - Northern Silver, by Silver Ghost",D. Stewart,Retired,,,,,,,,,,,,,,,,,,
Silver Frost,8/31/2009,"3, c, Verglas - Hidden Silver, by Anabaa",Y. Nicolay,"Hairline fracture left hind leg, to stud",,,,,,,,,,,,,,,,,,
Simmard,12/12/2012,"7, h, Dixieland Band - Dibs, by Spectacular Bid",R. Attfield,"Injured, Will stand stud in 2013 at Dormellito Stud, New York for $2,800",,,,,,,,,,,,,,,,,,
Simply Splendid,11/10/2010,"5, m, Maria's Mon - Lears and Limos, by Hennessy",G. Cox,"Sold for $200,000 as broodmare prospect Keeneland November 2010",,,,,,,,,,,,,,,,,,
Sindy With an S,,"5, m, Broken Vow - Backroom Blues, by Dixieland Band",M. Mitchell,Bred to Tapit,,,,,,,,,,,,,,,,,,
Sing Baby Sing,7/16/2010,"7, h, Unbridled's Song - Roll Over Baby, by Rollin On Over",J. Bruner,Will stand sutd in 2011 at Lane's End Texas,,,,,,,,,,,,,,,,,,
Singing Saint,11/9/2009,"5, h, El Prado - Relaxing Rhythm, by Easy Goer",B. Lynch,"Will stand stud in 2010 at Adena Springs, Kentucky for $5,000",,,,,,,,,,,,,,,,,,
Singing Sister,,"3, f, Red Bullet - Holy Blitz, by Holy Bull",B. Lynch,Bred to Awesome Again,,,,,,,,,,,,,,,,,,
Singsomthincountry,,"3, f, Dixieland Band - Smart Link, by Numerous",,Broodmare,,,,,,,,,,,,,,,,,,
Siphon City,,"7, h, Siphon - Carsona, by Carson City",D. Fawkes,"Resides at Pure Thoughts Off Track Thoroughbred Rehab and Placement Division
",,,,,,,,,,,,,,,,,,
Siphonizer,10/24/2008,"7, g, Siphon - Thesky'sthelimit, by Northern Prospect",S. Asmussen,Retired to Old Friends in Kentucky,,,,,,,,,,,,,,,,,,
Siphon's Storm,,"5, m, Siphon - Knoosh, by Storm Bird",C. Belaire,Bred to Latent Heat,,,,,,,,,,,,,,,,,,
Sir Gallovic ,1/1/2010,"5, h, Victory Gallop - Lotus Moon, by Skywalker",T. Taylor,Stood first season at stud in 2009,,,,,,,,,,,,,,,,,,
Sir Greeley,3/29/2008,"6, g, Mr. Greeley - Worry Not, by Concern",J. Jerkens,"Hind End Injury, Cannon Bone Injury
",,,,,,,,,,,,,,,,,,
Sir Whimsey,1/19/2011,"7, h, Jump Start - Apogee, by Star de Naskra",S. Asmussen,"Will stand stud in 2011 at Mill Creek Farm, New York",,,,,,,,,,,,,,,,,,
Sister Odell,,"6, m, Max's Pal - Welcome Winn, by Pentaquod",A. Quintero,Retired,,,,,,,,,,,,,,,,,,
Six Pack Abs,2013,"9, g, Forest Wildcat - Warren's Whistle, by Wolf Power",S. Anderson,Retired to New Vocations,,,,,,,,,,,,,,,,,,
Sixties Icon,1/1/2010,"6, h, Galileo - Love Divine, by Diesis",J. Noseda,Stood first season at stud in 2009,,,,,,,,,,,,,,,,,,
Siyouma,2/2/2013,"5, m, Medicean - Sichilla, by Danehill",F. Doumen,Broodmare in Japan,,,,,,,,,,,,,,,,,,
S K R's Spartan,2012,"8, g, Our Emblem - Dancing Marrea, by Lord At War",S. Lake,"Retired to Lisa Molloy Training Stables, Virginia",,,,,,,,,,,,,,,,,,
Sky Conqueror,7/2/2008,"7, h, Sky Classic - Heavenly Ballerina, by Conquistador Cielo",D. Banach,"Grabbed Quarter, Will stand stud in 2009 in Canada for $7,500",,,,,,,,,,,,,,,,,,
Sky Diva,4/20/2009,"4, f, Sky Mesa - Swift Girl, by Unbridled",S. Klesaris,Throat infection + stone bruise + Broodmare in Japan,,,,,,,,,,,,,,,,,,
Skylaunch,2/24/2012,"10, g, Bertrando - Heath Farm, by Pleasant Colony",S. Irlando,Jumper in Arizona,,,,,,,,,,,,,,,,,,
Sleepin' Lion,2009,"5, g, Lion Cavern - Sign of the Dove, by Cormorant",H. Whalen,"Track pony at Fort Erie, Pleasure and Show horse",,,,,,,,,,,,,,,,,,
Slew's Tiznow,12/18/2011,"6, h, Tiznow - Hepatica, by Slewpy",J. Lloyd,"Will stand stud in 2012 at Rancho San Miguel. California for $2,500",,,,,,,,,,,,,,,,,,
Small Pair,2012,"5, m, Peaks and Valleys - Aunt Ivy, by Regal Classic",S. Beattie,Retired to New Vocations,,,,,,,,,,,,,,,,,,
Smartacus,2011,"2, c, Smarty Jones - Saratoga Lady, by Deputy MInister",,"Chipped cannon bone, Hunter/Jumper prospect",,,,,,,,,,,,,,,,,,
Smart as Lil,,"5, g, Lil's Lad - Jetsetter's Dream, by Alydar",H. Root,"Bowed right front tendon, Resides at Pure Thoughts Off Track Thoroughbred Rehab and Placement Division
",,,,,,,,,,,,,,,,,,
Smart Sting,12/12/2012,"4, f, Smart Strike - Perfect Sting, by Red Ransom",R. Attfield,Broodmare,,,,,,,,,,,,,,,,,,
Smart Surprise,11/23/2009,"5, m, Smart Strike - Weekend Storm, by Storm Bird",J. Carroll,Broodmare,,,,,,,,,,,,,,,,,,
Smart Wildcat,,"5, m, Smart Strike - Foxy Wildcat, by Forest Wildcat",J. Lynn,Bred to Broken Vow,,,,,,,,,,,,,,,,,,
Smarty Deb,3/11/2008,"5, m, Smart Strike - Taste the Passion, by Wild Again",C. Gaines,"Bone Chip, Virus - Bred to Bernardini",,,,,,,,,,,,,,,,,,
Smoke Warning,1/1/2010,"8, h, Smoke Glacken - Secret Affair, by Secret Hello",D. Romans,"Will stand stud in 2010 at A J Farm, Illinois",,,,,,,,,,,,,,,,,,
Smokey Stover,5/19/2008,"5, g, Put It Back - Milady's Halo, by Jolie's Halo",G. Gilchrist,Minor Problems - Retired to Farm,,,,,,,,,,,,,,,,,,
Smokin Lily,,"2, f, Smokin Mel - Polonia, by Claramount",,"Resides at Pure Thoughts Off Track Thoroughbred Rehab and Placement Division
",,,,,,,,,,,,,,,,,,
Smooth Air,8/15/2009,"5, h, Smooth Jazz - Air France, by French Deputy",C. Brown/B. Stutts,"Bruised left front foot + ""hot spots"" on bone scan (sent to farm) + Hairline fracture pelvis + Will stand stud in 2011 at Fanlew Farms, Louisiana for $2,500",,,,,,,,,,,,,,,,,,
Sneaky Sneakers,,"3, f, Doctor Mike - Sneaky Boots, by Crafty Friend",T. Young,Retired,,,,,,,,,,,,,,,,,,
